Naruto Uzumaki | Yellow | 'Believe it!' | Naruto
Sasuke Uchiha | Black | 'If That`s How It Is, I`ll Just Have To Sever That Bond.' | Naruto
Sakura Haruno | Pink | 'I`ve finally caught up to the 2 of them.' | Naruto
Jiraiya | White | 'Now... it's about time I put my down my pen.' | Naruto
Issei Hyoudou | Brown | 'The girls... I made their clothes rip off.' | HighSchool DxD
Rias Gremory | Red | 'Devote your life to me.' | HighSchool DxD
Gilgamesh | Yellow | 'Mongrels though they may be, they're still figures of some slight renown.' | Fate
Saber | Yellow | 'The weight of my sword is the weight of my pride. The wound from my battle with you is an honor, not a fetter.' | Fate
Archer | White | 'It is at the moment of death that humanity has value.' | Fate
WhiteBeard | Yellow | 'No matter who your father is, we are all children of the sea' | One Piece
Monkey D. Luffy | Black | 'I Don't Want To Conquer Anything. I Just Think The Guy With The Most Freedom In The Entire Ocean Is The Pirate King.' | One Piece
Saitama | Bald | 'Human strength lies in the ability to change yourself.' | One Punch Man
Rock Lee | Black | 'A dropout will beat a genius through hard work.' | Naruto
Ken Kaneki | White | 'Never trust anyone too much; remember, the devil was once an angel' | Tokyo Ghoul
Itachi Uchiha | Black | 'You focus on the trivial and lose sight of what is most important; change is impossible in this fog of ignorance.' | Naruto
Piccolo | Bald | 'Sometimes, we have to look beyond what we want and do what's best.' | Dragon Ball Z
Ichigo Kurosaki | Orange | 'Revenge is just the path you take to escape your suffering' | Bleach
Vegeta | Black | 'Push through the pain; giving up hurts more.' | Dragon Ball Z
Kirito | Black | 'You can go anywhere you want in this world with a single blade. This may be a virtual world, but I feel more alive here than in the real world' | Sword Art Online
Asuna | Brown | 'There Is One Thing I've Learned Here. To Keep Doing Your Best, Up Until The Very End.' | Sword Art Online
All Might | Yellow | 'I am here!' | My Hero Academia
Deku / Izuku Midoriya | Green | 'I Want To Be Strong Enough So No One Will Worry About Me.' | My Hero Academia
Satoru Gojo | White | 'Don't Worry, I'm The Strongest' | Jujutsu Kaisen
Yuji Itadori | Pink | 'I'm into girls like Jennifer Lawrence. Nice to meet you!' | Jujutsu Kaisen
Ryomen Sukuna | Pink | 'Any Hierarchy Other Than Strength Is Boring' | Jujutsu Kaisen
Nobara Kugisaki | Orange | 'Cheer Up, Guys. At Least I'm Here.' | Jujutsu Kaisen
Megumi Fushiguro | Black | 'It's Not About Whether I Can. I Have To Do It.' | Jujutsu Kaisen
Aoi Todo | Black | 'I Have One Question For You. What Kind Of Woman Is Your Type?' | Jujutsu Kaisen
Panda | Black + White | 'I Know You Had Your Hardships, Mechamaru, But Having More Hardships Doesn't Make You Right.' | Jujutsu Kaisen
Mahito | Gray | 'Life Simply Flows.' | Jujutsu Kaisen
Lelouch Lamperouge/Zero | Brown | 'You can't change the world with pretty words alone.' | Code Geass
Zero Two | Pink | 'Once we die, we'll only be a statistic. It won't matter what we were called.' | Darling in the Franxx
Natsu Dragneel | Pink | 'We don't have to know what tomorrow holds! That's why we can live for everything we're worth today!' | Fairy Tail
Juuzou Suzuya | White | 'Why should I apologize for being a monster? Has anyone ever apologized for turning me into one?' | Tokyo Ghoul
Fuegoleon Vermillion | Orange | 'Being weak is nothing to be ashamed of… Staying weak is!' | Black Clover
Asta | Gray | 'Even if you weren't chosen, even if you weren't wanted, even if you aren't forgiven… You need to stand your ground no matter how pathetic you are!' | Black Clover
Yuno | Black | 'That's the thing about you nobles; when you stumble, you break.' | Black Clover
Yami | Black | 'Your fate, really? You're saying you ended up here because it's your fate? Yeah, yeah, old Mr. Fate, I know. Man, I'm not a fan of that guy. Why would anyone obey him? I live how I want, even if it means kicking fate's ass.' | Black Clover
Julius Novachrono / Wizard King | Yellow | 'You can't protect others with pride, and the trust of others comes with merit.' | Black Clover
Rukia Kuchiki | Black | 'Even If No One Believes In You, Stick Out Your Best And Scream Your Defiance!' | Bleach
Aizen Sosuke | Brown | 'Fear Is Necessary For Evolution. The Fear That Could Be Destroyed At Any Moment.' | Bleach
Goku | Black | 'And This Is To Go... Even Further Beyond!' | Dragon Ball Z
Kyouko Hori | Brown | 'Everyone has a side of themselves that they don't want other people to see.' | Horimiya
